"","Overall"
"n","111756"
"age (mean (SD))"," 69.08 (12.46)"
"gender = female (%)"," 39195 (35.1) "
"inhospital_stroke_cr = 1 (%)","   155 ( 0.1) "
"hospt_class (%)",""
"   三级甲等"," 43283 (38.7) "
"   三级乙等"," 38926 (34.8) "
"   三级中医院","  9730 ( 8.7) "
"   二级综合"," 19689 (17.6) "
"   社会办医院","   128 ( 0.1) "
"dur (mean (SD))","  1.57 (1.60)"
"premrs (mean (SD))","  1.67 (1.08)"
"htn (%)",""
"   0"," 35702 (31.9) "
"   1"," 72626 (65.0) "
"   2","  3202 ( 2.9) "
"   NA","   226 ( 0.2) "
"dm (%)",""
"   0"," 74708 (66.8) "
"   1"," 32524 (29.1) "
"   2","  4282 ( 3.8) "
"   NA","   242 ( 0.2) "
"ci (%)",""
"   0"," 83645 (74.8) "
"   1"," 23599 (21.1) "
"   2","  4385 ( 3.9) "
"   NA","   127 ( 0.1) "
"mi (%)",""
"   0","105362 (94.3) "
"   1","  1707 ( 1.5) "
"   2","  4419 ( 4.0) "
"   NA","   268 ( 0.2) "
"ich (%)",""
"   0","108154 (96.8) "
"   1","  1838 ( 1.6) "
"   2","  1445 ( 1.3) "
"   NA","   319 ( 0.3) "
"af_vhd (%)",""
"   0"," 96345 (86.2) "
"   1","  8701 ( 7.8) "
"   2","  6429 ( 5.8) "
"   NA","   281 ( 0.3) "
"dyslipid (%)",""
"   0","100956 (90.3) "
"   1","  3634 ( 3.3) "
"   2","  6896 ( 6.2) "
"   NA","   270 ( 0.2) "
"bleeding (%)",""
"   0","108700 (97.3) "
"   1","  1244 ( 1.1) "
"   2","  1540 ( 1.4) "
"   NA","   272 ( 0.2) "
"dementia (%)",""
"   0","109028 (97.6) "
"   1","   861 ( 0.8) "
"   2","  1523 ( 1.4) "
"   NA","   344 ( 0.3) "
"COPD (%)",""
"   0","108795 (97.4) "
"   1","  1144 ( 1.0) "
"   2","  1549 ( 1.4) "
"   NA","   268 ( 0.2) "
"anti-htn (%)",""
"   0"," 43534 (39.0) "
"   1"," 59283 (53.0) "
"   2","  8682 ( 7.8) "
"   NA","   257 ( 0.2) "
"anti-dm (%)",""
"   0"," 77215 (69.1) "
"   1"," 26890 (24.1) "
"   2","  7342 ( 6.6) "
"   NA","   309 ( 0.3) "
"lip-reduc (%)",""
"   0"," 91352 (81.7) "
"   1"," 14571 (13.0) "
"   2","  5456 ( 4.9) "
"   NA","   377 ( 0.3) "
"anti-coag (%)",""
"   0","104216 (93.3) "
"   1","  2793 ( 2.5) "
"   2","  4510 ( 4.0) "
"   NA","   237 ( 0.2) "
"toast (%)",""
"   LAA"," 42737 (56.1) "
"   CE","  6146 ( 8.1) "
"   SVD"," 21085 (27.7) "
"   Others","  2622 ( 3.4) "
"   UnKn","  3531 ( 4.6) "
