"","0","1","p","test"
"n","50029","61727","",""
"age (mean (SD))","69.11 (12.33)","69.06 (12.57)"," 0.490",""
"gender = female (%)","17298 (34.6) ","21897 (35.5) "," 0.001",""
"inhospital_stroke_cr = 1 (%)","   64 ( 0.1) ","   91 ( 0.1) "," 0.429",""
"hospt_class (%)","","","<0.001",""
"   三级甲等","18171 (36.3) ","25112 (40.7) ","",""
"   三级乙等","17926 (35.8) ","21000 (34.0) ","",""
"   三级中医院"," 4507 ( 9.0) "," 5223 ( 8.5) ","",""
"   二级综合"," 9312 (18.6) ","10377 (16.8) ","",""
"   社会办医院","  113 ( 0.2) ","   15 ( 0.0) ","",""
"dur (mean (SD))"," 1.59 (1.58)"," 1.56 (1.61)"," 0.002",""
"premrs (mean (SD))"," 1.62 (1.09)"," 1.72 (1.07)","<0.001",""
"htn (%)","","","<0.001",""
"   0","16013 (32.0) ","19689 (31.9) ","",""
"   1","33154 (66.3) ","39472 (63.9) ","",""
"   2","  772 ( 1.5) "," 2430 ( 3.9) ","",""
"   NA","   90 ( 0.2) ","  136 ( 0.2) ","",""
"dm (%)","","","<0.001",""
"   0","33514 (67.0) ","41194 (66.7) ","",""
"   1","15141 (30.3) ","17383 (28.2) ","",""
"   2"," 1263 ( 2.5) "," 3019 ( 4.9) ","",""
"   NA","  111 ( 0.2) ","  131 ( 0.2) ","",""
"ci (%)","","","<0.001",""
"   0","38029 (76.0) ","45616 (73.9) ","",""
"   1","10384 (20.8) ","13215 (21.4) ","",""
"   2"," 1533 ( 3.1) "," 2852 ( 4.6) ","",""
"   NA","   83 ( 0.2) ","   44 ( 0.1) ","",""
"mi (%)","","","<0.001",""
"   0","47702 (95.3) ","57660 (93.4) ","",""
"   1","  730 ( 1.5) ","  977 ( 1.6) ","",""
"   2"," 1425 ( 2.8) "," 2994 ( 4.9) ","",""
"   NA","  172 ( 0.3) ","   96 ( 0.2) ","",""
"ich (%)","","","<0.001",""
"   0","48460 (96.9) ","59694 (96.7) ","",""
"   1","  902 ( 1.8) ","  936 ( 1.5) ","",""
"   2","  525 ( 1.0) ","  920 ( 1.5) ","",""
"   NA","  142 ( 0.3) ","  177 ( 0.3) ","",""
"af_vhd (%)","","","<0.001",""
"   0","44163 (88.3) ","52182 (84.5) ","",""
"   1"," 3831 ( 7.7) "," 4870 ( 7.9) ","",""
"   2"," 1875 ( 3.7) "," 4554 ( 7.4) ","",""
"   NA","  160 ( 0.3) ","  121 ( 0.2) ","",""
"dyslipid (%)","","","<0.001",""
"   0","46224 (92.4) ","54732 (88.7) ","",""
"   1"," 1323 ( 2.6) "," 2311 ( 3.7) ","",""
"   2"," 2380 ( 4.8) "," 4516 ( 7.3) ","",""
"   NA","  102 ( 0.2) ","  168 ( 0.3) ","",""
"bleeding (%)","","","<0.001",""
"   0","48744 (97.4) ","59956 (97.1) ","",""
"   1","  601 ( 1.2) ","  643 ( 1.0) ","",""
"   2","  599 ( 1.2) ","  941 ( 1.5) ","",""
"   NA","   85 ( 0.2) ","  187 ( 0.3) ","",""
"dementia (%)","","","<0.001",""
"   0","48919 (97.8) ","60109 (97.4) ","",""
"   1","  387 ( 0.8) ","  474 ( 0.8) ","",""
"   2","  595 ( 1.2) ","  928 ( 1.5) ","",""
"   NA","  128 ( 0.3) ","  216 ( 0.3) ","",""
"COPD (%)","","","<0.001",""
"   0","48771 (97.5) ","60024 (97.2) ","",""
"   1","  579 ( 1.2) ","  565 ( 0.9) ","",""
"   2","  596 ( 1.2) ","  953 ( 1.5) ","",""
"   NA","   83 ( 0.2) ","  185 ( 0.3) ","",""
"anti-htn (%)","","","<0.001",""
"   0","19821 (39.6) ","23713 (38.4) ","",""
"   1","26929 (53.8) ","32354 (52.4) ","",""
"   2"," 3133 ( 6.3) "," 5549 ( 9.0) ","",""
"   NA","  146 ( 0.3) ","  111 ( 0.2) ","",""
"anti-dm (%)","","","<0.001",""
"   0","34934 (69.8) ","42281 (68.5) ","",""
"   1","12733 (25.5) ","14157 (22.9) ","",""
"   2"," 2202 ( 4.4) "," 5140 ( 8.3) ","",""
"   NA","  160 ( 0.3) ","  149 ( 0.2) ","",""
"lip-reduc (%)","","","<0.001",""
"   0","41516 (83.0) ","49836 (80.7) ","",""
"   1"," 6622 (13.2) "," 7949 (12.9) ","",""
"   2"," 1698 ( 3.4) "," 3758 ( 6.1) ","",""
"   NA","  193 ( 0.4) ","  184 ( 0.3) ","",""
"anti-coag (%)","","","<0.001",""
"   0","47130 (94.2) ","57086 (92.5) ","",""
"   1"," 1248 ( 2.5) "," 1545 ( 2.5) ","",""
"   2"," 1513 ( 3.0) "," 2997 ( 4.9) ","",""
"   NA","  138 ( 0.3) ","   99 ( 0.2) ","",""
"toast (%)","","","<0.001",""
"   LAA","22591 (58.6) ","20146 (53.6) ","",""
"   CE"," 3076 ( 8.0) "," 3070 ( 8.2) ","",""
"   SVD","10389 (27.0) ","10696 (28.4) ","",""
"   Others","  883 ( 2.3) "," 1739 ( 4.6) ","",""
"   UnKn"," 1583 ( 4.1) "," 1948 ( 5.2) ","",""
